node;value
ACVR2A_ACVR2B_complex;0
INHBA;1
INHBB;1
BAD;0
BCL2_M1_macrophage__Mitochondria_membrane;1
BCL2L1_M1_macrophage__Mitochondria;1
BCL3_rna;1
Bim;1
c_FOS_M1_macrophage___Cytoplasm;1
c_Myc_rna;1
c5a;1
C5a_C5aR1_complex;1
Casp1;1
CASP3;0
CASP7;1
CCL2_CCR2_complex;1
CCL2_M1_macrophage___Extracellular_Space;1
CCL2_M1_macrophage___Secreted_components;1
CCl21;1
CCL21_CCR7_complex;1
cFLIP;1
cIAP1;1
CSF2RA_CSF2RB_complex;1
CXCL1_CXCR1_complex;1
CXCR1_IL8_complex;1
CypA;1
DUSP1;1
ERK1_phosphorylated_M1_macrophage___Cytoplasm;1
ERK1_phosphorylated_M1_macrophage___nucleus;1
FAS;1
FOXO_M1_macrophage___Cytoplasm;0
GNA12_GNA13_complex;1
GNAI3;1
GNB_GNG_GNAI3_complex;1
HLA_B_LILRB1_complex;1
HRAS;1
IFNa_M1_macrophage___Extracellular_Space;1
IFNa_M1_macrophage___Secreted_components;1
IFNAR1_IFNAR2_IFNb_complex;1
IFNb_M1_macrophage___Extracellular_Space;1
IFNb_M1_macrophage___Secreted_components;1
IFNGR1_IFNGR2_complex;1
IKKE_TBK1_TRAF3_complex;0
IL1_IL1R_complex;1
IL11_IL11Ra_IL6ST_complex;1
IL12RB_complex;1
IL18_IL18R1_complex;1
IL23_M1_macrophage___Extracellular_Space;1
IL23_M1_macrophage___Secreted_components;1
IL6_IL6R_IL6ST_complex;1
IL8_M1_macrophage___Secreted_components;1
INPP5A;1
IRF7;1
IRF9;1
JAK1;1
JAK2;1
JNK1_phosphorylated_M1_macrophage___Cytoplasm;1
JNK1_phosphorylated_M1_macrophage___nucleus;1
Mcl1_rna;1
MDM2_phosphorylated;0
MEK1_phosphorylated;1
MEK2_phosphorylated;1
MK2_phosphorylated;1
MKK3_phosphorylated;1
MKK6_phosphorylated;1
NFAT5;1
NFKB1_TPL2_complex;1
NFKBIA_RELA_NFKB1_complex;1
NLRP3;1
OPN;0
p38_MAP_KINASE_phosphorylated_M1_macrophage___Cytoplasm;0
p38_MAP_KINASE_phosphorylated_M1_macrophage___nucleus;0
Prkcd;1
PRKCQ;1
PRKG1;1
PTK2;1
PTPN6;1
Rac1;1
RAF1;1
RELA_NFKB1_NFKBIE_complex;1
Sirt1;0
SMAD2_phosphorylated;0
SMAD2_SMAD4_complex;0
SMAD7;1
SOS1;1
STAT1;1
STAT1_STAT1_complex;1
STAT2;1
STAT3;1
STAT4_STAT4_complex;1
STAT5_CRKL_complex;1
SYK;0
TLR1_TLR2_biglycan_complex;1
TLR2_TLR6_complex;1
TLR4_Md2_CD14_fibrinogen_complex;0
TLR5;0
TLR7_TLR8_ssRNA_complex;1
TLR9_DNA_complex;1
TNF_M1_macrophage___Extracellular_Space;1
TNF_M1_macrophage___Secreted_components;1
TNF_TNFRSF1A_complex;1
TNFA_rna;1
TNFSF11_TNFRSF11_complex;1
TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex;1
TRAF6_ubiquitinated;0
TRAM1;0
XIAP;1
NICD_CSL_SKIP_MAML1_ep300_complex;1
