stable_nodes_name;occurence
ACVR2A_ACVR2B_INHBA_complex;0
ACVR2A_ACVR2B_INHBB_complex;0
ACVR2A_ACVR2B_complex;0
AKT1;0
AP_1;1
AP_1_phosphorylated;1
ASC;1
ASK1;1
BAD;0
BCL2L1_M1_macrophage__Mitochondria;1
BCL2L1_M1_macrophage__Mitochondria_active;0
BCL2_M1_macrophage__Mitochondria_membrane;1
BCL2_M1_macrophage__Mitochondria_membrane_active;0
BCL3_rna;1
Bcl2_rna;1
Bim;1
C5a_C5aR1_complex;1
CASP3;0
CASP7;0
CASP8;1
CCL21_CCR7_complex;1
CCL2_CCR2_complex;1
CCL2_M1_macrophage___Extracellular_Space;1
CCL2_M1_macrophage___Secreted_components;1
CCl21;1
CD40LG_ITGB1_ITGA1_complex;0,5
CRKL_phosphorylated;1
CSF2RA_CSF2RB_CSF2_complex;1
CSF2RA_CSF2RB_complex;1
CSF2_M1_macrophage___Extracellular_Space;1
CSF2_M1_macrophage___Secreted_components;1
CXCL1_CXCR1_complex;1
CXCL1_M1_macrophage___Extracellular_Space;1
CXCL1_M1_macrophage___Secreted_components;1
CXCR1;1
CXCR1_IL8_complex;1
Casp1;1
CypA;1
DAXX;1
DNA_simple_molecule;1
DUSP1;1
ECSIT;0,5
ERK1_phosphorylated_M1_macrophage___Cytoplasm;1
ERK1_phosphorylated_M1_macrophage___nucleus;1
FADD;1
FAS;1
FASL_FAS_complex;1
FASL_M1_macrophage___Extracellular_Space;1
FASL_M1_macrophage___Secreted_components;1
FOXO_M1_macrophage___Cytoplasm;1
FOXO_M1_macrophage___nucleus;1
GAL_GALR2_complex;1
GNA12_GNA13_complex;1
GNAI3;1
GNB_GNG_GNAI3_complex;1
HLA_B_LILRB1_complex;1
HRAS;1
IFNAR1_IFNAR2_IFNa_complex;1
IFNAR1_IFNAR2_IFNb_complex;1
IFNAR1_IFNAR2_complex;1
IFNE;0,5
IFNE_IFNAR1_IFNAR2_complex;0,5
IFNGR1_IFNGR2_IFNg_complex;1
IFNGR1_IFNGR2_complex;1
IFNa_M1_macrophage___Extracellular_Space;1
IFNa_M1_macrophage___Secreted_components;1
IFNb_M1_macrophage___Extracellular_Space;1
IFNb_M1_macrophage___Secreted_components;1
IFNg_M1_macrophage___Extracellular_Space;1
IFNg_M1_macrophage___Secreted_components;1
IKK1_IKK2_complex;0,5
IKK1_phosphorylated;0,5
IKK2_phosphorylated;1
IKKE_TBK1_TRAF3_complex;0
IKKE_TBK1_complex;0,5
IKK_complex;1
IL11_IL11Ra_IL6ST_complex;1
IL12RB_IL12_complex;1
IL12RB_complex;1
IL12_M1_macrophage___Extracellular_Space;1
IL12_M1_macrophage___Secreted_components;1
IL18_IL18R1_complex;1
IL18_M1_macrophage___Cytoplasm;1
IL18_M1_macrophage___Extracellular_Space;1
IL18_M1_macrophage___Secreted_components;1
IL1B_M1_macrophage___Cytoplasm;1
IL1B_M1_macrophage___Extracellular_Space;1
IL1B_M1_macrophage___Secreted_components;1
IL1R_complex;1
IL1_IL1R_complex;1
IL23R_IL12RB1_IL23_complex;1
IL23R_IL12RB1_complex;1
IL23_M1_macrophage___Extracellular_Space;1
IL23_M1_macrophage___Secreted_components;1
IL6_IL6R_IL6ST_complex;1
IL6_M1_macrophage___Extracellular_Space;1
IL6_M1_macrophage___Secreted_components;1
IL8_M1_macrophage___Extracellular_Space;1
IL8_M1_macrophage___Secreted_components;1
INHBA;1
INHBB;1
INPP5A;1
IRAK1;1
IRAK1_IRAK4_complex;1
IRAK4_phosphorylated;1
IRF3_phosphorylated;1
IRF7;1
IRF9;1
ITGB1_ITGA1_col4a_complex;1
ITGB1_ITGA1_complex;1
JAK1;1
JAK1_JAK2_complex;1
JAK1_TYK2_complex;1
JAK2;1
JAK2_TYK2_complex;1
JNK1_phosphorylated_M1_macrophage___Cytoplasm;1
JNK1_phosphorylated_M1_macrophage___nucleus;1
MDM2_phosphorylated;0
MEK1_phosphorylated;1
MEK2_phosphorylated;1
MEKK1;0,5
MK2_phosphorylated;1
MKK3_phosphorylated;1
MKK4_phosphorylated;1
MKK6_phosphorylated;1
MKK7_phosphorylated;1
MYD88;1
MYD88_TIRAP_TOLLIP_complex;1
Mcl1_rna;1
NCID;1
NFAT5;1
NFKB1_TPL2_complex;1
NFKBIA_RELA_NFKB1_complex;1
NICD;1
NICD_CSL_SKIP_MAML1_ep300_complex;1
NIK;1
NLRP3;1
NLRP3_INFLAMMASOME_complex;1
OPN;0
PI3K;0
PIK3AP1_phosphorylated;0
PP4;1
PRKCQ;1
PRKG1;1
PTK2;1
PTPN6;1
Prkcd;1
RAF1;1
RELA_NFKB1_NFKBIE_complex;1
RELA_NFKB1_complex_M1_macrophage___Cytoplasm;1
RELA_NFKB1_complex_M1_macrophage___nucleus;1
RHOA;0
Rac1;1
SHP2_GRB2_complex;1
SMAD2_SARA_complex;0
SMAD2_SMAD4_complex;0
SMAD2_phosphorylated;0
SMAD4;0
SMAD7;1
SOS1;1
STAT1;1
STAT1_STAT1_complex;1
STAT1_STAT2_IRF9_complex;1
STAT2;1
STAT3;1
STAT3_STAT3_complex;1
STAT4;1
STAT4_STAT4_complex;1
STAT5_CRKL_complex;1
STAT5_phosphorylated;1
SYK;0
Sirt1;0
Src;1
TAB1;1
TAB2_phosphorylated;1
TAK1;1
TLR1_TLR2_biglycan_complex;1
TLR1_TLR2_complex;1
TLR2_TLR6_biglycan_complex;1
TLR2_TLR6_complex;1
TLR3_dsRNA_complex;1
TLR4_Md2_CD14_fibrinogen_complex;0
TLR5;0
TLR7_TLR8_ssRNA_complex;1
TLR9_DNA_complex;1
TNFA_rna;1
TNFSF11;1
TNFSF11_TNFRSF11_complex;1
TNF_M1_macrophage___Extracellular_Space;1
TNF_M1_macrophage___Secreted_components;1
TNF_TNFRSF1A_complex;1
TPL2;1
TRADD;1
TRADD_TRAF2_RIP1_complex;1
TRAF2_RIP1_TRADD_TAK1_TAB1_TAB2_complex;1
TRAF2_TRAF6_complex;1
TRAF3;0
TRAF6;0
TRAF6_ECSIT_MEKK1_TAB1_TAB2_TAK1_complex;0
