stable_nodes_name;occurence
SMAD2_SARA_complex;0
BAD;0
SMAD4;0
Sirt1;0
PRL;0
AKT1;0
AKT1_phosphorylated;0
BCL2_M2_macrophage_mitochondrion_membrane_active;0
BCL2L1;0
CASP9;0
CREB1_phosphorylated;0
mcl1;0
Mcl1_rna;0
MDM2_phosphorylated;0
MSK1_phosphorylated;0
p38_MAP_KINASE_phosphorylated_M2_macrophage__cytoplasm;0
p38_MAP_KINASE_phosphorylated_M2_macrophage_nucleus;0
PI3K;0
PIK3AP1_phosphorylated;0
PRL_PRLR_complex;0
proliferation_survival_M2_macrophage_phenotype;0
RBL1_E2F4_DP1_complex;0
SMAD2_phosphorylated;0
SMAD2_SMAD4_complex;0
SYK;0
TRAF6_ubiquitinated;0
Vegfb_M2_macrophage__extracellular_space;0
Vegfb_M2_macrophage__secreted_components;0
Vegfc_M2_macrophage__extracellular_space;0
Vegfc_M2_macrophage__secreted_components;0
vegfc_vegfr3_complex;0
VegfR1_vegfb_complex;0
VegfR2_vegfc_nrp2_complex;0
CD40LG_ITGB1_ITGA1_complex;1
VegfR1;1
ASC;1
IKK1_phosphorylated;1
GAS6;1
GAS6_MERTK_complex;1
IKK1_IKK2_complex;1
NLRP3_INFLAMMASOME_complex;1
VegfR1_Vegfa_complex;1
col4a4;1
col4a5;1
NFKB1_TPL2_complex;1
NFKBIA_RELA_NFKB1_complex;1
IL23R_IL12RB1_complex;1
IL11Ra_IL6ST_IL11_complex;1
LIFR_IL6ST_CTF1_complex;1
EFNB1_EPHB1_complex;1
RELA_NFKB1_NFKBIE_complex;1
IL17Ra_IL17Rc_IL17F_complex;1
TGFBR1_TGFBR2_complex;1
HLA_B_LILRB1_complex;1
c5a;1
HCK;1
CSF1R;1
Casp1;1
IL34;1
CCl21;1
SH2D1A;1
TGFB1_M2_macrophage__secreted_components;1
DUSP1;1
SMAD7;1
CYLD;1
GNB_GNG_GNAI3_complex;1
immune_complex_complex;1
IL10R1_IL10R2_complex;1
ITGB1_ITGA1_complex;1
PIP2_simple_molecule;1
HBGEF;1
apoptosis_M2_macrophage_phenotype;1
ASK1;1
BAX;1
BCL2_M2_macrophage_mitochondrion_membrane;1
Bcl2_rna;1
BCL3_rna;1
Bim;1
C_EBPb_phosphorylated;1
c_Myc_rna;1
C5a_C5aR1_complex;1
CASP3;1
CASP7;1
CASP8;1
CCL21_CCR7_complex;1
CD32a;1
cFLIP;1
cMyc;1
cMyc_phosphorylated;1
CSF1_M2_macrophage__extracellular_space;1
CSF1_M2_macrophage__secreted_components;1
CSF1R_CSF1_complex;1
CSFR1R_IL34_complex;1
CXCR1_IL8_complex;1
DAG_simple_molecule;1
DAXX;1
ERK1_phosphorylated_M2_macrophage__cytoplasm;1
ERK1_phosphorylated_M2_macrophage_nucleus;1
FADD;1
FAS;1
FASL_FAS_complex;1
FASL_M2_macrophage__extracellular_space;1
FASL_M2_macrophage__secreted_components;1
FOXO1;1
GAB2_phosphorylated;1
GNAI3;1
GNB_GNG_complex;1
Grb2;1
HRAS;1
IKK_complex;1
IKK2_phosphorylated;1
IL10_M2_macrophage__extracellular_space;1
IL10_M2_macrophage__secreted_components;1
IL10R1_IL10R2_IL10_complex;1
IL23_M2_macrophage__extracellular_space;1
IL23_M2_macrophage__secreted_components;1
IL23R_IL12RB1_IL23_complex;1
IL4;1
IL4_IL4Ra_complex;1
IL4R;1
IL8_M2_macrophage__extracellular_space;1
IL8_M2_macrophage__secreted_components;1
immune_complex_CD16a_complex;1
immune_complex_CD32a_complex;1
immune_complex_CD32b_complex;1
immune_complex_CD64_complex;1
ITGB1_ITGA1_col4a_complex;1
JAK1;1
JAK1_TYK2_complex;1
JAK2;1
klf4;1
MEK1_phosphorylated;1
MEK2_phosphorylated;1
MKK3_phosphorylated;1
MKK6_phosphorylated;1
NFAT5_phosphorylated;1
NLRP3;1
p15_rna;1
p53;1
p53_phosphorylated_M2_macrophage__cytoplasm;1
p53_phosphorylated_M2_macrophage_nucleus;1
PLCG2;1
PRKCD;1
Prkcd;1
PRKCQ;1
PTK2;1
PTPN6;1
RAF1;1
RELA_NFKB1_complex_M2_macrophage__cytoplasm;1
RELA_NFKB1_complex_M2_macrophage_nucleus;1
RXRa_NUR77_complex;1
Shc_phosphorylated;1
SHIP1;1
SOS1;1
Src;1
STAT3;1
STAT3_STAT3_complex;1
STAT6;1
STAT6_STAT6_complex;1
Syk_phosphorylated;1
TAK1_phosphorylated;1
TGFB1_M2_macrophage__extracellular_space;1
TGFBR1_TGFBR2_TGFB1_complex;1
TPL2;1
TRAF3IP2_phosphorylated;1
VEGFa_M2_macrophage__extracellular_space;1
VEGFa_M2_macrophage__secreted_components;1
Vegfa_rna;1
XIAP;1
