Targets;Corresponding_nodes_M1_macrophage;Corresponding_nodes_M2_macrophage
TNF;TNF_M1_macrophage___Extracellular_Space;
IL-6;IL6_M1_macrophage___Extracellular_Space;
IL-1;IL1B_M1_macrophage___Extracellular_Space;
GM-CSF;CSF2_M1_macrophage___Extracellular_Space;
JAK1/JAK2;JAK2,JAK1_JAK2_complex,JAK2_TYK2_complex,JAK1_TYK2_complex,JAK1;JAK1,JAK1_TYK2_complex,JAK2
JAK1;JAK1,JAK1_JAK2_complex,JAK1_TYK2_complex;JAK1,JAK1_TYK2_complex, 
IL-12/IL-23;IL12_M1_macrophage___Extracellular_Space,IL23_M1_macrophage___Extracellular_Space;IL23_M2_macrophage__extracellular_space
IL-23;IL23_M1_macrophage___Extracellular_Space;IL23_M2_macrophage__extracellular_space
CD40L;CD40LG,CD40LG_ITGB1_ITGA1_complex;CD40LG,CD40LG_ITGB1_ITGA1_complex
TLR-4;TLR4_Md2_CD14_fibrinogen_complex;
IL17;;IL17Ra_IL17Rc_IL17F_complex
MMP9;MMP9;MMP9
IL10;;IL10_M2_macrophage__extracellular_space
IL18;IL18_M1_macrophage___Extracellular_Space;
CCL2;CCL2_M1_macrophage___Extracellular_Space;
IRAK4;IRAK4_phosphorylated;
CCR7;CCL21_CCR7_complex;CCL21_CCR7_complex
CXCR1;CXCR1;CXCR1_IL8_complex
TPL2;TPL2;TPL2
C5R;C5a_C5aR1_complex;C5a_C5aR1_complex
HRAS;HRAS;HRAS
ERK1;ERK1_phosphorylated_M1_macrophage___Cytoplasm;ERK1_phosphorylated_M2_macrophage__cytoplasm
cypa;CypA;
VEGFR1;;VegfR1
NFKB;RELA_NFKB1_complex_M1_macrophage___nucleus;RELA_NFKB1_complex_M2_macrophage_nucleus
