class;id;name;notes;MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id];MIRIAM[relation];MIRIAM[datatype];MIRIAM[id]
PROTEIN;s3;RF;;bqbiol:isDescribedBy;BIND;22956589;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTEIN;s4;IgG;;bqbiol:isDescribedBy;PubMed;29495570;bqbiol:isDescribedBy;PubMed;12746896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEGRADED;s61;s1326;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENE;s299;CSF2;;bqbiol:isDescribedBy;PubMed;27586802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNA;s300;CSF2;;bqbiol:isDescribedBy;PubMed;27586802;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEGRADED;s301;s301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENE;s303;IL8;;bqbiol:isDescribedBy;PubMed;10491366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RNA;s304;IL8;;bqbiol:isDescribedBy;PubMed;10491366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEGRADED;s305;s305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GENE;s306;IL15;;bqbiol:isDescribedBy;PubMed;16507118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
